time (s),Current (A), Voltage (V), Power (W), Battery Temp (C), Ambient Temp (C)
0,-2.5855,3.6645,-9.4741,20.774156,20.141075
0.215267,-2.5996,3.6394,-9.4603,20.780705,20.12283
1.210604,-2.6096,3.5378,-9.2317,20.775266,20.119608
2.20943,-2.5766,3.4546,-8.901,20.773144,20.123777
3.208662,-2.6017,3.385,-8.8063,20.781679,20.128616
4.210976,-2.6197,3.3373,-8.7424,20.774091,20.118432
5.208066,-2.5988,3.309,-8.5992,20.77198,20.122613
6.208261,-2.6183,3.2927,-8.6211,20.779101,20.117893
7.209332,-2.6002,3.2818,-8.5327,20.772214,20.107302
8.212475,-2.5695,3.2724,-8.4073,20.771447,20.122449
9.211761,-2.5891,3.2665,-8.457,20.776827,20.118949
10.209442,-2.6084,3.2622,-8.5091,20.77439,20.138348
11.208856,-2.5969,3.2567,-8.4571,20.773525,20.109723
12.210486,-2.6056,3.2532,-8.4765,20.765376,20.117115
13.207285,-2.5925,3.2499,-8.4253,20.794283,20.111988
14.209631,-2.6137,3.2447,-8.4802,20.797873,20.123723
15.210375,-2.6256,3.2413,-8.51,20.786542,20.112015
16.208056,-2.5811,3.2392,-8.3604,20.788032,20.12572
17.209023,-2.5959,3.2373,-8.4034,20.785568,20.112891
18.207151,-2.5897,3.2335,-8.3735,20.796627,20.108412
19.285954,-2.6116,3.2314,-8.4392,20.79617,20.120168
20.218495,-2.604,3.2281,-8.4057,20.789213,20.127642
21.207308,-2.5974,3.2262,-8.3792,20.796295,20.120294
22.210428,-2.6035,3.2254,-8.3968,20.782419,20.112331
23.209918,-2.6152,3.2216,-8.4248,20.792607,20.113642
24.211616,-2.5962,3.2198,-8.3588,20.813348,20.107377
25.211845,-2.5969,3.2194,-8.3597,20.79276,20.094178
26.20733,-2.5922,3.2165,-8.337,20.793788,20.108531
27.208351,-2.5842,3.2143,-8.306,20.785677,20.093013
28.205508,-2.5949,3.2121,-8.3347,20.809187,20.108766
29.211393,-2.5981,3.2097,-8.3386,20.797748,20.074741
30.208239,-2.5978,3.2086,-8.3348,20.807735,20.089176
31.210721,-2.6228,3.2074,-8.4116,20.79839,20.077234
32.219002,-2.6161,3.2056,-8.3859,20.803361,20.099975
33.217597,-2.593,3.2049,-8.31,20.800517,20.091206
34.211992,-2.6202,3.2028,-8.3918,20.801088,20.09918
35.209496,-2.6027,3.2016,-8.3326,20.816541,20.087995
36.20945,-2.5893,3.1997,-8.2848,20.818309,20.098277
37.208279,-2.6242,3.1977,-8.3913,20.81324,20.11097
38.217364,-2.6004,3.1985,-8.317,20.805091,20.102076
39.210702,-2.5944,3.1972,-8.2942,20.810874,20.10157
40.213167,-2.6125,3.1943,-8.3446,20.808681,20.094565
41.207664,-2.5854,3.1941,-8.2573,20.800147,20.096758
42.20723,-2.5726,3.1946,-8.2179,20.822656,20.095223
43.210184,-2.5834,3.1922,-8.2461,20.821193,20.086357
44.207572,-2.588,3.1918,-8.2598,20.817189,20.083831
45.211226,-2.62,3.1905,-8.3588,20.813109,20.088632
46.208098,-2.5836,3.191,-8.244,20.817657,20.08541
47.213859,-2.6335,3.1889,-8.3975,20.825343,20.071633
48.211727,-2.5732,3.1895,-8.2071,20.82821,20.071911
49.210745,-2.5822,3.1876,-8.2308,20.830494,20.095294
50.209519,-2.5858,3.1878,-8.2428,20.818108,20.100667
51.205816,-2.5943,3.1868,-8.2674,20.810901,20.101597
52.210546,-2.5957,3.1862,-8.2705,20.830429,20.092268
53.20865,-2.6235,3.1857,-8.3572,20.824908,20.083412
54.206695,-2.6193,3.1846,-8.3411,20.824342,20.084697
55.209013,-2.6163,3.1854,-8.3338,20.82183,20.080702
56.211067,-2.5975,3.1849,-8.2726,20.821443,20.086237
57.209979,-2.6225,3.1835,-8.3485,20.833551,20.085029
58.211481,-2.6032,3.1835,-8.2864,20.848716,20.085399
59.214305,-2.5966,3.1831,-8.2648,20.815237,20.081137
60.205854,-2.6054,3.181,-8.287,20.837881,20.074927
61.209165,-2.573,3.182,-8.1868,20.845197,20.075215
62.210639,-2.5936,3.1819,-8.2522,20.811734,20.083184
63.208051,-2.5959,3.1814,-8.2584,20.825892,20.086988
64.207376,-2.5984,3.1813,-8.2659,20.828885,20.092573
65.213133,-2.6394,3.1808,-8.3951,20.840568,20.079096
66.21055,-2.5964,3.1817,-8.2603,20.84288,20.086591
67.21273,-2.603,3.18,-8.2772,20.850637,20.088431
68.208485,-2.5921,3.1798,-8.2421,20.82369,20.085154
69.207001,-2.6188,3.1799,-8.3272,20.855021,20.078013
70.208559,-2.6103,3.1799,-8.3002,20.846883,20.082825
71.209145,-2.6332,3.179,-8.3704,20.855353,20.084637
72.209919,-2.6132,3.1796,-8.3089,20.85705,20.080784
73.209146,-2.6278,3.1788,-8.3533,20.838763,20.077659
74.213458,-2.5929,3.1784,-8.2413,20.84071,20.08553
75.210353,-2.5674,3.1793,-8.1622,20.842184,20.085524
76.210206,-2.597,3.1784,-8.2542,20.854901,20.084186
77.213591,-2.6373,3.1774,-8.3795,20.855576,20.075978
78.212106,-2.6032,3.1784,-8.2734,20.838491,20.080719
79.206609,-2.5982,3.1773,-8.2549,20.856974,20.074046
80.210701,-2.6046,3.1778,-8.2764,20.854592,20.076843
81.213244,-2.6042,3.1775,-8.2741,20.846352,20.072299
82.20983,-2.5972,3.1776,-8.2528,20.859172,20.059959
83.206634,-2.601,3.1772,-8.2636,20.847679,20.072887
84.208918,-2.6132,3.1781,-8.3047,20.86552,20.072234
85.211307,-2.5962,3.1776,-8.2497,20.863345,20.070057
86.212348,-2.5864,3.1775,-8.2179,20.851786,20.064783
87.207899,-2.6026,3.1778,-8.27,20.850497,20.076817
88.206383,-2.5847,3.1767,-8.2107,20.862774,20.05505
89.210276,-2.6176,3.1763,-8.314,20.876649,20.063014
90.209071,-2.5901,3.1756,-8.2249,20.877917,20.079828
91.209826,-2.5895,3.177,-8.2256,20.861029,20.071811
92.210143,-2.5938,3.1761,-8.2382,20.863655,20.082952
93.209654,-2.6017,3.1771,-8.2653,20.869345,20.083835
94.208704,-2.5978,3.1762,-8.2506,20.86359,20.09029
95.212266,-2.5892,3.176,-8.2225,20.870281,20.078849
96.212015,-2.5916,3.1762,-8.231,20.869128,20.080656
97.210878,-2.622,3.1757,-8.3266,20.863243,20.071066
98.210635,-2.5806,3.176,-8.1957,20.862253,20.067484
99.211874,-2.6339,3.1743,-8.3607,20.85912,20.058427
100.209158,-2.6,3.1748,-8.2541,20.862134,20.061072
101.208044,-2.603,3.1765,-8.2681,20.872996,20.051214
102.21209,-2.6022,3.1744,-8.2599,20.855187,20.060413
103.210266,-2.5983,3.1765,-8.2529,20.859931,20.045173
104.207457,-2.5739,3.1758,-8.1738,20.878376,20.051787
105.210106,-2.6337,3.1748,-8.3612,20.875977,20.049386
106.210549,-2.6077,3.1752,-8.2797,20.888824,20.049658
107.210399,-2.6009,3.1764,-8.2612,20.881536,20.061241
108.208878,-2.6337,3.1749,-8.3615,20.87991,20.047399
109.209663,-2.5935,3.1746,-8.2328,20.887361,20.056707
110.208801,-2.5948,3.1758,-8.2403,20.864495,20.056402
111.208167,-2.6048,3.1748,-8.2694,20.879024,20.056136
112.210056,-2.6149,3.1742,-8.2998,20.885942,20.047884
113.213634,-2.5978,3.1745,-8.2463,20.878969,20.048309
114.211087,-2.593,3.1738,-8.2292,20.885355,20.039524
115.211199,-2.5949,3.1754,-8.2393,20.898931,20.036083
116.214067,-2.6003,3.1744,-8.2541,20.901123,20.037537
117.213788,-2.6076,3.1749,-8.2787,20.879742,20.053524
118.213206,-2.6239,3.1743,-8.3284,20.891056,20.061885
119.212478,-2.602,3.1745,-8.2596,20.886264,20.041914
120.211111,-2.601,3.1741,-8.2554,20.899263,20.039747
121.21288,-2.5861,3.1747,-8.2094,20.886906,20.048478
122.212447,-2.6256,3.1739,-8.3331,20.892459,20.060329
123.210982,-2.5922,3.1743,-8.2282,20.908554,20.053856
124.210838,-2.5809,3.1735,-8.1903,20.908309,20.045098
125.211972,-2.6134,3.1735,-8.2933,20.88987,20.031457
126.207869,-2.6112,3.1745,-8.2886,20.889273,20.045295
127.206474,-2.5961,3.1754,-8.2437,20.898112,20.048218
128.209987,-2.5877,3.1738,-8.2122,20.904688,20.039993
129.208558,-2.5906,3.1738,-8.2221,20.905003,20.022912
130.211225,-2.6087,3.1734,-8.278,20.893836,20.032835
131.208697,-2.6172,3.174,-8.3065,20.907266,20.019254
132.209066,-2.6181,3.1745,-8.3103,20.899177,20.031518
133.209793,-2.6195,3.1738,-8.3133,20.884481,20.039389
134.210405,-2.6175,3.1728,-8.3042,20.879526,20.023696
135.212422,-2.6209,3.1724,-8.3139,20.896072,20.032482
136.214262,-2.6282,3.1728,-8.3386,20.894908,20.0402
137.211256,-2.5704,3.1737,-8.1572,20.897829,20.043864
138.209206,-2.5847,3.1743,-8.2047,20.930251,20.011906
139.209729,-2.6294,3.1737,-8.3444,20.913407,20.029472
140.211051,-2.6083,3.1735,-8.2768,20.916502,20.026647
141.210687,-2.5975,3.174,-8.2442,20.914957,20.023251
142.211154,-2.6014,3.1733,-8.2547,20.912918,20.024541
143.213871,-2.5878,3.1735,-8.212,20.902779,20.016985
144.210894,-2.6013,3.1728,-8.2537,20.908126,20.036032
145.210218,-2.5821,3.174,-8.1956,20.912826,20.044067
146.212539,-2.5961,3.1725,-8.2359,20.92198,20.040643
147.21168,-2.6204,3.1726,-8.3134,20.916938,20.031896
148.211975,-2.6145,3.1728,-8.2948,20.926408,20.029898
149.212002,-2.6295,3.1728,-8.3423,20.924548,20.009529
150.209258,-2.5926,3.1733,-8.2268,20.931701,20.015947
151.210372,-2.6141,3.1719,-8.2911,20.926648,20.016443
152.208823,-2.5878,3.1726,-8.2094,20.917086,20.024271
153.20867,-2.6176,3.1725,-8.3038,20.925403,20.042958
154.210075,-2.5941,3.1726,-8.2298,20.930027,20.026487
155.20989,-2.6098,3.1725,-8.2791,20.922467,20.020402
156.209197,-2.5708,3.1731,-8.1567,20.921852,20.026449
157.209086,-2.6348,3.1715,-8.3558,20.92473,20.00675
158.210299,-2.6409,3.1712,-8.3742,20.950429,20.029139
159.210269,-2.62,3.1722,-8.3104,20.928984,20.012118
160.207628,-2.6109,3.1718,-8.2811,20.915136,20.036015
161.208679,-2.5991,3.1724,-8.2453,20.935766,20.009282
162.210702,-2.6103,3.1726,-8.2811,20.952127,20.01085
163.211127,-2.5794,3.1729,-8.1839,20.923872,20.010704
164.212718,-2.6012,3.1708,-8.2479,20.940902,20.010721
165.21119,-2.6058,3.171,-8.2627,20.937095,20.015054
166.20866,-2.587,3.1724,-8.2066,20.910771,20.016099
167.207462,-2.5724,3.1725,-8.1605,20.939527,20.018969
168.210456,-2.6019,3.1717,-8.2522,20.940887,20.026622
169.209256,-2.5989,3.1712,-8.2411,20.925751,20.021097
170.21176,-2.5964,3.1718,-8.2348,20.941226,20.022519
171.210402,-2.5822,3.173,-8.193,20.925753,20.020359
172.21016,-2.5961,3.171,-8.2316,20.933944,20.019673
173.212345,-2.6399,3.1717,-8.3724,20.930839,20.019527
174.210063,-2.5987,3.1718,-8.2423,20.947037,20.030186
175.209927,-2.5771,3.1719,-8.1738,20.947722,20.020508
176.211514,-2.6418,3.1699,-8.3734,20.938129,20.025713
177.213126,-2.5933,3.1702,-8.2208,20.954582,20.024042
178.209791,-2.6106,3.1716,-8.2797,20.942421,20.015942
179.211164,-2.6013,3.1709,-8.2479,20.946496,20.021871
180.20984,-2.6102,3.1719,-8.2786,20.936815,20.026988
181.211164,-2.614,3.1701,-8.2861,20.940378,20.014267
182.210772,-2.6131,3.1713,-8.2867,20.949854,20.027083
183.208452,-2.5979,3.1713,-8.2384,20.947346,20.013469
184.211428,-2.6006,3.1712,-8.2467,20.936773,20.043974
185.2101,-2.6073,3.1712,-8.268,20.943111,20.00997
186.210576,-2.6086,3.1708,-8.2705,20.947973,20.040377
187.207084,-2.5763,3.1716,-8.1705,20.948431,20.014184
188.212976,-2.5955,3.1703,-8.2279,20.956791,20.01885
189.214033,-2.5918,3.171,-8.2186,20.952017,19.979276
190.215181,-2.5751,3.1723,-8.1691,20.956743,20.01436
191.211489,-2.6049,3.1704,-8.2583,20.940911,20.016652
192.215438,-2.6167,3.171,-8.2969,20.939377,20.018448
193.213095,-2.6048,3.1704,-8.2579,20.951002,20.026381
194.211146,-2.5779,3.171,-8.1741,20.967661,20.017144
195.211694,-2.5834,3.1694,-8.1874,20.953705,20.009469
196.211019,-2.5953,3.1713,-8.2302,20.964105,20.000259
197.209644,-2.5963,3.1703,-8.2313,20.967684,20.031973
198.210304,-2.6081,3.1699,-8.2674,20.969082,20.015975
199.210243,-2.5741,3.1706,-8.1612,20.961197,20.02474
200.208751,-2.5964,3.1706,-8.232,20.956552,20.013798
201.209346,-2.5955,3.1715,-8.2313,20.953861,20.015547
202.21026,-2.5922,3.1702,-8.2175,20.962906,20.037555
203.209117,-2.629,3.169,-8.331,20.962961,20.029836
204.209649,-2.5936,3.1708,-8.2233,20.955401,20.011536
205.207219,-2.5939,3.1704,-8.2234,20.954406,20.013502
206.20982,-2.6025,3.1698,-8.2493,20.968162,20.037263
207.209332,-2.6077,3.1696,-8.2643,20.970778,20.03766
208.209654,-2.6284,3.1693,-8.3298,20.96411,20.035059
209.20961,-2.5882,3.1696,-8.2033,20.969305,20.030634
210.214033,-2.6067,3.1689,-8.2601,20.972813,20.028593
211.211468,-2.5953,3.1703,-8.2279,20.971704,20.02193
212.214403,-2.5712,3.1707,-8.1522,20.972585,20.023553
213.212836,-2.6109,3.1695,-8.2749,20.982822,20.037129
214.213671,-2.5938,3.1689,-8.2191,20.969454,20.042257
215.210469,-2.6149,3.1693,-8.2871,20.999922,20.036107
216.211303,-2.5948,3.1698,-8.2244,20.989034,20.029281
217.211819,-2.5905,3.1687,-8.2082,20.975035,20.04118
218.209004,-2.6089,3.1698,-8.2696,20.982058,20.027851
219.20974,-2.6308,3.1685,-8.3353,20.991456,20.026523
220.209758,-2.5931,3.1704,-8.2206,20.987052,20.015453
221.209086,-2.6105,3.1695,-8.2737,20.982461,20.019372
222.21151,-2.6013,3.1688,-8.2427,20.992779,20.028588
223.210047,-2.6001,3.1683,-8.2375,20.985813,20.035682
224.210105,-2.6087,3.1691,-8.267,20.988663,20.034092
225.208875,-2.5892,3.1687,-8.2038,20.994869,20.042524
226.214239,-2.5815,3.1684,-8.1788,20.999792,20.029684
227.210242,-2.594,3.1693,-8.221,20.989769,20.042972
228.209469,-2.5887,3.1682,-8.201,21.013167,20.050103
229.208835,-2.6153,3.1696,-8.2892,20.99268,20.044405
230.211857,-2.5868,3.1685,-8.196,21.007419,20.048792
231.211129,-2.5997,3.1689,-8.2378,21.002041,20.060066
232.212346,-2.6025,3.1696,-8.2483,21.000199,20.05156
233.212859,-2.6037,3.1688,-8.2501,20.997888,20.062942
234.207547,-2.6076,3.1695,-8.2641,20.999639,20.053961
235.208742,-2.6036,3.1694,-8.2518,21.013149,20.065262
236.211937,-2.6081,3.1687,-8.2637,21.00483,20.055084
237.208865,-2.6006,3.1684,-8.2395,21.020389,20.0503
238.207134,-2.5913,3.1685,-8.2101,20.999751,20.058514
239.208976,-2.6001,3.169,-8.2398,20.996466,20.06263
240.210005,-2.5739,3.1674,-8.1525,21.007927,20.055223
241.210132,-2.5936,3.1684,-8.2173,21.000694,20.060568
242.211831,-2.6031,3.1681,-8.2467,21.00714,20.063689
243.212399,-2.6057,3.1676,-8.2537,21.004758,20.07352
244.210079,-2.61,3.1675,-8.2669,21.010882,20.070396
245.211204,-2.5732,3.1685,-8.1528,21.007445,20.073248
246.21101,-2.5812,3.1682,-8.1776,21.016508,20.058999
247.213413,-2.5657,3.1685,-8.1292,21.011988,20.057808
248.211951,-2.6077,3.1679,-8.2606,21.019582,20.061706
249.212275,-2.6124,3.1675,-8.2747,21.029611,20.058419
250.211014,-2.6042,3.1675,-8.2487,21.003757,20.068817
