time (s),Current (A), Voltage (V), Power (W), Battery Temp (C), Ambient Temp (C),Voltage R (Ohm),Power R (Ohm),Avg. Volt R (Ohm),Avg. Power R (Ohm)
0,0.030817,3.4524,0.10644,20.752339,20.418632,0,0,1.01224480070099,0.340287695109744
0.894558,-6.0105,3.1858,-19.148,20.757162,20.422716,0.530039098244738,0.530032153129467,,
1.891207,-5.9746,3.1533,-18.839,20.758626,20.405679,0.52778428681418,0.527764503559383,,
2.895182,-6.0199,3.1379,-18.889,20.757134,20.413068,0.521254505888802,0.521231210394063,,
3.894767,-5.99,3.1288,-18.741,20.77059,20.428378,0.522337228714524,0.522322958966112,,
4.933815,-6.0058,3.122,-18.75,20.754096,20.418909,0.519830830197476,0.519827847078737,,
5.89281,-6.0675,3.1148,-18.898,20.756941,20.425085,0.513358055212196,0.513329561048288,,
6.893503,-5.9982,3.1108,-18.659,20.744376,20.423617,0.518622253342669,0.518616678887387,,
7.894592,-5.9644,3.1056,-18.523,20.759642,20.406696,0.52068942391523,0.520688281510017,,
8.89644,-5.9952,3.1028,-18.601,20.749769,20.421611,0.517547371230318,0.517522148668138,,
9.896518,-6.055,3.0972,-18.752,20.753952,20.411364,0.511511147811726,0.511468979987331,,
10.897192,-6.0333,3.0942,-18.667,20.746514,20.434266,0.512853662174929,0.512819683166341,,
0,0.005001,3.2319,0.016242,20.755697,20.443081,0,0,,
0.972197,0.000143,3.2583,0.000514,20.748108,20.43697,0,0,,
1.971747,0.004151,3.266,0.013575,20.77673,20.4323,0,0,,
2.973028,0.003047,3.2712,0.009995,20.776819,20.439048,0,0,,
3.971091,0.003045,3.2748,0.009979,20.755962,20.443717,0,0,,
4.972775,0.002728,3.2788,0.008983,20.748755,20.441687,0,0,,
7.973773,0.008297,3.2852,0.027289,20.775437,20.449877,0,0,,
8.977273,0.046898,3.2854,0.15418,20.751775,20.452108,0,0,,
9.974769,0.005424,3.2883,0.017869,20.77935,20.448611,0,0,,
12.971729,0.049007,3.2929,0.16108,20.779743,20.443084,0,0,,
13.972073,0.000063,3.2953,0.000214,20.77705,20.4452,0,0,,
14.972582,0.001882,3.2956,0.006198,20.78552,20.437762,0,0,,
15.973443,0.005289,3.296,0.017428,20.782419,20.44687,0,0,,
