Time (s),Current (A),Voltage (V),Power (W),Cell Temp (C),Chamber Temp (C)
0,0.07028,3.1972,0.22477,40.330119,40.590271
0.892974,-6.0134,3.0899,-18.579,40.344738,40.57178
1.897454,-5.9771,3.0818,-18.419,40.330508,40.567012
2.897658,-6.0018,3.0738,-18.448,40.343885,40.57784
3.894716,-5.9078,3.0701,-18.136,40.322113,40.574263
4.932227,-6.0022,3.063,-18.384,40.340307,40.565532
5.895974,-6.0633,3.0586,-18.544,40.333394,40.563713
6.894118,-6.0102,3.0564,-18.369,40.336757,40.557253
7.895126,-5.9974,3.0523,-18.305,40.337046,40.594287
8.892385,-5.9956,3.05,-18.286,40.333344,40.574577
9.894614,-5.9756,3.0478,-18.212,40.321449,40.57651
10.892962,-6.031,3.0445,-18.361,40.336707,40.568845
0,0.002201,3.1308,0.006963,40.331235,40.574288
0.979171,0.00209,3.1474,0.006609,40.336355,40.575769
1.977905,0.002685,3.1518,0.008454,40.329266,40.586508
3.014949,0.000984,3.1557,0.003138,40.339505,40.555634
3.978901,0.0000365,3.158,0.000132,40.339816,40.564677
4.979113,0.006713,3.1603,0.021226,40.345477,40.566698
5.979286,-0.002246,3.1612,-0.007076,40.329768,40.567364
6.980136,0.001879,3.1629,0.005975,40.335914,40.58224
7.978516,-0.002578,3.1646,-0.008116,40.34806,40.585289
8.979268,-0.003644,3.1647,-0.011483,40.34293,40.586344
9.980254,-0.00098,3.1663,-0.003031,40.335224,40.578277
10.979578,0.003514,3.1688,0.011173,40.351385,40.580974
11.983033,0.00037,3.1671,0.001239,40.346141,40.575002
12.98188,-0.0000204,3.1706,-0.0000509,40.348399,40.568165
13.981396,-0.000784,3.1688,-0.002432,40.370432,40.586192
14.980195,3.4E+038,3.171,0.15738,40.34973,40.588777
15.980137,0.004347,3.1708,0.013793,40.369441,40.586292
16.978573,0.007038,3.1706,0.022381,40.364924,40.575955
18.016533,0.000455,3.1721,0.001448,40.355877,40.570184
18.978147,0.002796,3.1727,0.008898,40.350305,40.57953
19.980314,0.009851,3.1723,0.031335,40.35718,40.562755
20.980125,0.04794,3.1713,0.15011,40.366404,40.569431
21.980978,0.000333,3.1732,0.001056,40.355625,40.572842
22.986027,0.003299,3.174,0.01052,40.360858,40.571526
23.983513,0.005937,3.1759,0.018863,40.351572,40.600806
24.978377,3.4E+038,3.1742,0.15928,40.363141,40.602186
25.979606,0.000669,3.1749,0.002126,40.360946,40.584712
26.979102,-0.000578,3.1746,-0.00182,40.366593,40.599817
27.980987,-0.000321,3.1751,-0.001001,40.388137,40.594798
28.978483,0.007413,3.1752,0.023552,40.365702,40.575641
29.983111,0.000324,3.1747,0.00103,40.374899,40.578288
30.979671,0.002142,3.1755,0.006808,40.378412,40.56834
31.977198,0.004388,3.1757,0.013952,40.376454,40.569657
33.01135,0.00173,3.1758,0.005522,40.376079,40.569281
33.978233,0.00245,3.1768,0.007791,40.35333,40.577824
34.977207,0.005501,3.1765,0.017471,40.379765,40.57224
35.97718,-0.000551,3.1765,-0.001742,40.37116,40.568001
36.977736,0.001593,3.1778,0.005057,40.370157,40.583734
37.978546,0.002044,3.1767,0.006534,40.383632,40.574286
38.978256,0.002419,3.1775,0.007716,40.373946,40.567876
39.981314,0.002012,3.1774,0.00641,40.389378,40.566935
40.982378,0.004036,3.1772,0.012884,40.383795,40.570084
41.979568,0.005873,3.1782,0.018697,40.384648,40.581487
42.978471,0.007096,3.1792,0.022579,40.379138,40.575614
43.979777,0.007058,3.1777,0.02246,40.380832,40.583493
44.981506,3.4E+038,3.1781,0.17925,40.382401,40.562141
45.981858,0.010517,3.1789,0.033478,40.399503,40.570145
46.979124,0.008807,3.1784,0.028018,40.39535,40.586731
48.000858,0.003061,3.1797,0.009753,40.382187,40.573206
48.979074,0.008109,3.1786,0.025818,40.382615,40.571087
49.983142,-0.000298,3.1786,-0.000921,40.389917,40.577297
50.983411,0.002345,3.1785,0.007441,40.388048,40.561966
